BMID000000141833,'Porphyromonas'
BMID000000140988,'Postia'
BMID000000141980,'Prevotella'
BMID000000140761,'Prochlorococcus'
BMID000000141310,'Propionibacterium'
BMID000000140547,'Prosthecochloris'
BMID000000141829,'Proteus'
BMID000000140221,'Protochlamydia'
BMID000000142831,'Providencia'
BMID000000142781,'Pseudanabaena'
BMID000000141720,'Pseudoalteromonas'
BMID000000141975,'Pseudogulbenkiania'
BMID000000141162,'Pseudomonas'
BMID000000141420,'Pseudonocardia'
BMID000000140800,'Pseudovibrio'
BMID000000141005,'Pseudoxanthomonas'
BMID000000141879,'Psychrobacter'
BMID000000142703,'Psychroflexus'
BMID000000141909,'Psychromonas'
BMID000000142840,'Puccinia'
BMID000000140445,'Puniceispirillum'
BMID000000140593,'Pusillimonas'
BMID000000141930,'Pyrenophora'
BMID000000140479,'Pyrobaculum'
BMID000000140916,'Pyrococcus'
BMID000000140676,'Pyrolobus'
BMID000000140253,'Rahnella'
BMID000000140463,'Ralstonia'
BMID000000141592,'Ramlibacter'
BMID000000142584,'Raoultella'
BMID000000140404,'Rattus'
BMID000000142039,'Renibacterium'
BMID000000141631,'Rhizobium'
BMID000000142658,'Rhodanobacter'
BMID000000140612,'Rhodobacter'
BMID000000140362,'Rhodococcus'
BMID000000141118,'Rhodoferax'
BMID000000140294,'Rhodomicrobium'
BMID000000141800,'Rhodopirellula'
BMID000000140819,'Rhodopseudomonas'
BMID000000141321,'Rhodospirillum'
BMID000000140808,'Rhodothermus'
BMID000000141336,'Ricinus'
BMID000000141438,'Rickettsia'
BMID000000141249,'Riemerella'
BMID000000141603,'Riesia'
BMID000000142646,'Rivularia'
BMID000000140934,'Robiginitalea'
BMID000000140592,'Roseburia'
BMID000000141370,'Roseiflexus'
BMID000000141474,'Roseobacter'
BMID000000140642,'Rothia'
BMID000000141363,'Rubrivivax'
BMID000000141687,'Rubrobacter'
BMID000000142583,'Ruminococcus'
BMID000000140571,'Runella'
BMID000000142044,'Ruthia'
BMID000000140287,'Saccharomonospora'
BMID000000141353,'Saccharomyces'
BMID000000141831,'Saccharophagus'
BMID000000140957,'Saccharopolyspora'
BMID000000142616,'Saccharothrix'
BMID000000141040,'Salinibacter'
BMID000000140763,'Salinispora'
BMID000000141143,'Salmonella'
BMID000000141078,'Sanguibacter'
BMID000000140803,'Saprospira'
BMID000000142759,'Sarcophilus'
BMID000000141041,'Scheffersomyces'
BMID000000140991,'Schistosoma'
BMID000000140610,'Schizophyllum'
BMID000000140858,'Schizosaccharomyces'
BMID000000141736,'Sclerotinia'
BMID000000141070,'Sebaldella'
BMID000000142414,'Aphid secondary symbionts'
BMID000000141019,'Segniliparus'
BMID000000141431,'Selaginella'
BMID000000140825,'Selenomonas'
BMID000000141350,'Serratia'
BMID000000142029,'Shewanella'
BMID000000140468,'Shigella'
BMID000000142209,'Shimwellia'
BMID000000140387,'Sideroxydans'
BMID000000140659,'Silicibacter'
BMID000000142510,'Simiduia'
BMID000000141957,'Simkania'
BMID000000142412,'Singulisphaera'
BMID000000140734,'Sinorhizobium'
BMID000000140589,'Slackia'
BMID000000141253,'Sodalis'
BMID000000142344,'Solibacillus'
BMID000000140853,'Solibacter'
BMID000000142222,'Solitalea'
BMID000000140985,'Sorangium'
BMID000000141434,'Sordaria'
BMID000000141104,'Sorghum'
BMID000000141874,'Sphaerobacter'
BMID000000141182,'Sphaerochaeta'
BMID000000141825,'Sphingobacterium'
BMID000000140736,'Sphingobium'
BMID000000140550,'Sphingomonas'
BMID000000141512,'Sphingopyxis'
BMID000000140946,'Spirochaeta'
BMID000000141230,'Spirosoma'
BMID000000141084,'Stackebrandtia'
BMID000000142565,'Stanieria'
BMID000000141211,'Staphylococcus'
BMID000000141849,'Staphylothermus'
BMID000000140370,'Starkeya'
BMID000000141348,'Stenotrophomonas'
BMID000000141424,'Stigmatella'
BMID000000140331,'Streptobacillus'
BMID000000142041,'Streptococcus'
BMID000000140313,'Streptomyces'
BMID000000141886,'Streptosporangium'
BMID000000141635,'Strongylocentrotus'
BMID000000141803,'Sulcia'
BMID000000140510,'Sulfobacillus'
BMID000000141205,'Sulfolobus'
BMID000000141761,'Sulfuricurvum'
BMID000000140214,'Sulfurihydrogenibium'
BMID000000141804,'Sulfurimonas'
BMID000000140377,'Sulfurospirillum'
BMID000000140827,'Sulfurovum'
BMID000000140513,'Sus'
BMID000000140918,'Symbiobacterium'
BMID000000140655,'Synechococcus'
BMID000000140469,'Synechocystis'
BMID000000142730,'Synergistetes'
BMID000000140252,'Syntrophobacter'
BMID000000141320,'Syntrophobotulus'
BMID000000140261,'Syntrophomonas'
BMID000000141397,'Syntrophothermus'
BMID000000140241,'Syntrophus'
BMID000000140511,'Taeniopygia'
BMID000000141467,'Takifugu'
BMID000000140859,'Tannerella'
BMID000000142020,'Taylorella'
BMID000000140521,'Tepidanaerobacter'
BMID000000141274,'Teredinibacter'
BMID000000140643,'Terriglobus'
BMID000000141113,'Tetragenococcus'
BMID000000141145,'Tetrahymena'
BMID000000141696,'Tetraodon'
BMID000000142237,'Tetrapisispora'
BMID000000140726,'Thalassiosira'
BMID000000142820,'Thalassolituus'
BMID000000140233,'Thauera'
BMID000000141735,'Theileria'
BMID000000142621,'Thermacetogenium'
BMID000000140967,'Thermaerobacter'
BMID000000141384,'Thermanaerovibrio'
BMID000000141708,'Thermincola'
BMID000000141917,'Thermoanaerobacter'
BMID000000141508,'Thermoanaerobacterium'
BMID000000142404,'Thermobacillus'
BMID000000141344,'Thermobaculum'
BMID000000141167,'Thermobifida'
BMID000000141770,'Thermobispora'
BMID000000140688,'Thermococcus'
BMID000000140281,'Thermocrinis'
BMID000000141076,'Thermodesulfatator'
BMID000000141016,'Thermodesulfobacterium'
BMID000000140601,'Thermodesulfobium'
BMID000000141137,'Thermodesulfovibrio'
BMID000000141840,'Thermofilum'
BMID000000142268,'Thermogladius'
BMID000000140558,'Thermomicrobium'
BMID000000141513,'Thermomonospora'
BMID000000140373,'Thermoplasma'
BMID000000142763,'Thermoplasmatales'
BMID000000140664,'Thermoproteus'
BMID000000141425,'Thermosediminibacter'
BMID000000140764,'Thermosipho'
BMID000000140314,'Thermosphaera'
BMID000000140975,'Thermosynechococcus'
BMID000000141116,'Thermotoga'
BMID000000141844,'Thermovibrio'
BMID000000141009,'Thermovirga'
